instrumentid,fromdate,open,high,low,close,ema_10,ema_20,trend,dl_trend,angle,opt_dl_trend,|,ent_sig,ext_sig,set_tp,set_sl,upd_tp,upd_sl
18 - gold,2024-03-19 20:00:00,2157.61,2159.47,2156.79,2156.88,2157.340598574457,2158.8118808628396,-1,0,-10.889161639061319,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-20 00:00:00,2156.87,2159.85,2155.02,2159.65,2157.7604897427377,2158.8917017330455,-1,0,39.671682580166106,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-20 04:00:00,2159.66,2160.02,2156.23,2158.05,2157.813127971331,2158.8115396632315,-1,0,5.932948882104321,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-20 08:00:00,2158.09,2158.19,2152.1,2153.77,2157.0780137947254,2158.331393028638,-1,0,-54.080950977110476,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-20 12:00:00,2153.81,2164.69,2149.4,2155.66,2156.8201931047756,2158.076974644958,-1,0,-29.399458427709387,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-20 16:00:00,2155.69,2188.64,2153.59,2182.66,2161.518339812998,2160.418215154962,1,0,70.8884241921308,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-20 20:00:00,2182.57,2222.75,2182.57,2203.79,2169.2040962106344,2164.54886133068,1,1,69.8059517324467,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-21 00:00:00,2203.83,2212.19,2192.23,2202.56,2175.268805990519,2168.1689697753777,1,1,62.468962460369504,1,|,1.0,0.0,0.0,2164.54886133068,0.0,0.0
18 - gold,2024-03-21 04:00:00,2202.71,2210.0,2201.61,2206.39,2180.927204901334,2171.8090678920084,1,1,60.078657708798914,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-21 08:00:00,2206.38,2211.57,2196.67,2207.37,2185.734985828364,2175.1958233308646,1,1,56.11802579800427,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-21 12:00:00,2207.38,2208.66,2166.19,2174.48,2183.6886247686616,2175.127649680306,1,0,-30.501384505482243,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-21 16:00:00,2174.5,2183.84,2172.82,2181.3,2183.254329356178,2175.715492567896,1,0,-6.986131200001918,0,|,0.0,1.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-21 20:00:00,2181.32,2182.52,2180.34,2181.67,2182.9662694732365,2176.282588513811,1,0,-4.610141499405085,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-22 00:00:00,2181.73,2185.92,2171.61,2173.51,2181.24694775083,2176.018532464877,1,0,-25.020456498028206,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-22 04:00:00,2173.52,2176.14,2162.39,2168.23,2178.8802299779513,2175.2767674682223,1,0,-31.203489598766367,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-22 08:00:00,2168.26,2169.9,2164.77,2165.89,2176.51836998196,2174.3827896141056,1,-1,-30.295712255043554,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-22 12:00:00,2165.9,2179.95,2165.25,2165.97,2174.6004845306943,2173.5815715556196,1,0,-28.609810014383683,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-03-22 16:00:00,2165.88,2167.32,2156.94,2163.78,2172.6331237069317,2172.6480885503224,-1,-1,-33.324452808823835,0,|,0.0,0.0,0.0,0.0,0.0,0.0
