instrumentid,fromdate,open,high,low,close,ema_10,ema_20,trend,dl_trend,angle,opt_dl_trend,|,ent_sig,ext_sig,set_tp,set_sl,upd_tp,upd_sl
18 - gold,2024-04-14 20:00:00,2361.98,2372.65,2346.93,2364.57,2364.4913701015034,2357.637672276905,1,0,0.21011923234165975,0,|,-1.0,0.0,0.0,2356.907953569211,0.0,0.0
18 - gold,2024-04-15 00:00:00,2364.55,2365.79,2348.25,2358.37,2363.378393719412,2357.7074177743425,1,0,-12.85115018389222,0,|,0.0,-1.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-15 04:00:00,2358.36,2362.3,2349.9,2352.94,2361.480503952246,2357.2533779863097,1,0,-21.306177816156197,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-15 08:00:00,2352.93,2361.0,2344.53,2357.83,2360.8167759609287,2357.308294368566,1,0,-8.052754673402942,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-15 12:00:00,2357.85,2360.89,2324.11,2351.41,2359.106453058942,2356.74655204775,1,0,-21.226235084982374,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-15 16:00:00,2351.45,2387.31,2346.01,2386.23,2364.038007048225,2359.554499471774,1,0,51.287864015249426,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-15 20:00:00,2386.56,2391.99,2379.86,2381.8,2367.2674603121845,2361.6731185697004,1,1,41.417704681780855,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-16 00:00:00,2381.81,2389.2,2379.16,2387.8,2371.0006493463325,2364.1613929916334,1,1,46.36523451470674,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-16 04:00:00,2387.85,2388.87,2362.8,2365.36,2369.9750767379082,2364.2755460400494,1,0,-18.689179574679983,0,|,1.0,0.0,0.0,2364.1613929916334,0.0,0.0
18 - gold,2024-04-16 08:00:00,2365.39,2375.16,2364.97,2373.85,2370.6796082401065,2365.18739879814,1,0,15.963969554621084,0,|,0.0,1.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-16 12:00:00,2373.86,2392.85,2363.38,2385.85,2373.43786128736,2367.1552655792693,1,0,47.363672098872215,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-16 16:00:00,2385.9,2398.11,2379.61,2389.58,2376.3727955987492,2369.29095457172,1,1,49.50301465223151,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-16 20:00:00,2389.51,2390.15,2378.28,2382.5,2377.4868327626127,2370.5489588982227,1,1,26.371257590797164,0,|,1.0,0.0,0.0,2369.29095457172,0.0,0.0
18 - gold,2024-04-17 00:00:00,2382.61,2386.07,2380.52,2381.52,2378.220135896683,2371.593819955535,1,1,18.98850659053728,0,|,0.0,1.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-17 04:00:00,2381.53,2383.11,2372.56,2382.31,2378.9637475518316,2372.6144085311985,1,0,22.378457072804398,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-17 08:00:00,2382.35,2394.13,2382.35,2387.17,2380.4557934514987,2374.000655337751,1,1,45.213320214949775,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-17 12:00:00,2387.33,2395.41,2378.18,2382.04,2380.743831005772,2374.766307210346,1,0,11.45459513470529,0,|,1.0,0.0,0.0,2374.000655337751,0.0,0.0
18 - gold,2024-04-17 16:00:00,2382.03,2384.21,2360.95,2372.38,2379.223134459268,2374.53903985698,1,0,-47.10766552325491,0,|,0.0,1.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-17 20:00:00,2372.42,2373.05,2352.9,2367.65,2377.1189281939464,2373.8829408229817,1,-1,-52.777781122801834,-1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-18 00:00:00,2367.74,2375.2,2363.88,2374.65,2376.670032158683,2373.955994077936,1,0,-15.305021153594305,0,|,-1.0,0.0,0.0,2373.8829408229817,0.0,0.0
18 - gold,2024-04-18 04:00:00,2374.63,2380.81,2373.0,2377.71,2376.8591172207407,2374.313518451466,1,0,7.402761782581986,0,|,0.0,-1.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-18 08:00:00,2377.61,2385.16,2377.08,2380.73,2377.5629140896967,2374.9246119322784,1,0,31.39220838916097,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-18 12:00:00,2380.92,2392.61,2369.37,2383.91,2378.7169297097516,2375.7803631768234,1,0,44.91977131909261,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-18 16:00:00,2383.9,2389.17,2377.98,2380.06,2378.9611243079785,2376.1879476361737,1,0,12.102941859033033,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-18 20:00:00,2380.03,2381.31,2376.76,2379.69,2379.093647161073,2376.5214764327284,1,0,6.778010647497603,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-19 00:00:00,2379.68,2417.75,2373.58,2391.18,2381.2911658590597,2377.917526296278,1,0,60.666812260130015,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-19 04:00:00,2391.17,2393.72,2378.53,2385.17,2381.9964084301396,2378.6082380775847,1,0,29.441203668429225,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-19 08:00:00,2385.16,2386.17,2372.69,2376.59,2381.013425079205,2378.4160249273386,1,0,-39.78450781576344,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-19 12:00:00,2376.6,2395.86,2372.89,2394.63,2383.4891659738946,2379.960213029497,1,0,66.423632151328,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-19 16:00:00,2394.66,2401.77,2386.47,2387.4,2384.200226705914,2380.668764169545,1,1,35.122330586622105,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-19 20:00:00,2387.44,2388.85,2386.54,2388.58,2384.9965491230205,2381.422215201017,1,1,38.775057428052435,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-21 20:00:00,2384.39,2388.4,2381.48,2386.25,2385.224449282471,2381.882004229492,1,0,12.734410829832724,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-22 00:00:00,2386.29,2386.33,2361.92,2369.17,2382.30545850384,2380.6713371600167,1,0,-62.41952677609106,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-22 04:00:00,2369.19,2372.76,2351.41,2360.84,2378.402647866778,2378.7826383828724,-1,-1,-62.43595272771626,-1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-22 08:00:00,2360.83,2363.49,2339.31,2341.98,2371.7803482546365,2375.277625203551,-1,-1,-66.32533293673345,-1,|,-1.0,0.0,0.0,2378.7826383828724,0.0,0.0
18 - gold,2024-04-22 12:00:00,2341.73,2350.13,2330.99,2334.58,2365.016648571975,2371.401660898451,-1,-1,-64.2660427856537,-1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-22 16:00:00,2334.59,2336.27,2324.39,2329.07,2358.4808942861614,2367.370074146218,-1,-1,-61.95940344536748,-1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-22 20:00:00,2329.08,2333.74,2325.15,2333.63,2353.962549870496,2364.15673375134,-1,-1,-52.18988462991978,-1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-23 00:00:00,2333.62,2334.25,2295.45,2302.4,2344.587540803133,2358.2751400607362,-1,-1,-69.19217693172551,-1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-23 04:00:00,2302.43,2314.59,2298.74,2308.87,2338.0934424752904,2353.5698886263804,-1,-1,-63.463581268512144,-1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-23 08:00:00,2308.89,2309.54,2291.35,2302.0,2331.530998388874,2348.658470661963,-1,-1,-67.91493449368936,-1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-23 12:00:00,2301.98,2331.93,2301.09,2322.99,2329.978089590897,2346.213854408443,-1,0,-34.251350860119125,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-23 16:00:00,2323.08,2331.17,2321.11,2322.11,2328.5475278470976,2343.9182492266864,-1,0,-29.710943286593615,0,|,0.0,-1.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-23 20:00:00,2322.2,2324.15,2321.2,2323.11,2327.558886420353,2341.9365112050973,-1,-1,-19.169217786081834,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-24 00:00:00,2323.12,2327.94,2315.64,2327.72,2327.5881797984703,2340.582557756993,-1,0,0.5245084089674562,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-24 04:00:00,2327.73,2331.15,2320.52,2320.55,2326.308510744203,2338.67469511347,-1,0,-21.653768283777495,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-24 08:00:00,2320.54,2321.78,2311.58,2315.99,2324.4324178816205,2336.514247959806,-1,-1,-30.93280562125643,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-24 12:00:00,2315.99,2337.11,2311.96,2322.46,2324.0737964485984,2335.1757481541104,-1,0,-6.314789920201481,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-24 16:00:00,2322.33,2330.38,2317.66,2318.84,2323.122197094308,2333.6199626156235,-1,0,-21.829795824675518,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-24 20:00:00,2318.94,2319.45,2313.6,2316.06,2321.8381612589787,2331.9475852236596,-1,-1,-35.155117636920245,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-25 00:00:00,2316.07,2321.91,2304.93,2313.07,2320.2439501209824,2330.149719964263,-1,0,-69.85461878994283,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-25 04:00:00,2313.06,2325.95,2312.23,2325.46,2321.1923228262585,2329.7030799676663,-1,0,47.9473225499302,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-25 08:00:00,2325.48,2330.44,2323.9,2328.33,2322.4900823123935,2329.572310446936,-1,0,50.535235100764396,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-25 12:00:00,2328.34,2344.72,2312.62,2330.25,2323.9009764374127,2329.636852309133,-1,0,48.91574979770033,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-25 16:00:00,2330.24,2336.25,2322.88,2332.77,2325.5135261760647,2329.9352473273107,-1,0,49.45490228303868,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-25 20:00:00,2332.79,2333.55,2329.9,2330.49,2326.4183395985983,2329.988080915186,-1,0,33.56498358316522,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-26 00:00:00,2330.48,2336.11,2326.11,2334.56,2327.898641489762,2330.4235017804067,-1,0,49.67663221826045,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-26 04:00:00,2334.57,2346.77,2333.36,2345.36,2331.073433946169,2331.846025420368,-1,1,64.59617155033511,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-26 08:00:00,2345.35,2352.33,2343.27,2344.74,2333.5582641377746,2333.0740229993808,1,1,59.20623508379529,1,|,1.0,0.0,0.0,2331.846025420368,0.0,0.0
18 - gold,2024-04-26 12:00:00,2344.72,2351.37,2328.55,2336.56,2334.104034294543,2333.4060208089636,1,0,23.46094500814797,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-26 16:00:00,2336.55,2341.23,2332.52,2339.84,2335.1469371500807,2334.0187807319194,1,0,52.86362602757525,0,|,0.0,1.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-26 20:00:00,2339.83,2339.86,2337.82,2337.94,2335.654766759157,2334.392230186022,1,1,31.325482321046497,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-28 20:00:00,2335.67,2337.15,2332.37,2335.83,2335.686627348401,2334.529160644496,1,0,1.925382907678735,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-29 00:00:00,2335.78,2336.12,2319.58,2328.3,2334.343604194146,2333.9359072497823,1,0,-46.708379709347774,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-29 04:00:00,2328.21,2337.7,2327.2,2337.1,2334.8447670679375,2334.2372494164697,1,0,21.71261743228774,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-29 08:00:00,2337.13,2344.14,2335.18,2336.88,2335.2148094192216,2334.4889399482345,1,0,16.230180222692116,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-29 12:00:00,2336.83,2339.35,2325.38,2337.66,2335.6593895248175,2334.79094566745,1,0,19.449912025725393,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-29 16:00:00,2337.69,2346.54,2332.82,2335.56,2335.641318702123,2334.864188937217,1,0,-1.0897760105582406,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-29 20:00:00,2335.73,2336.99,2332.65,2332.96,2335.153806210828,2334.682837609863,1,0,-36.117964436337736,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-30 00:00:00,2332.98,2335.96,2326.74,2329.03,2334.0403868997687,2334.144472123209,-1,0,-55.6450602110376,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-30 04:00:00,2329.04,2329.31,2315.18,2317.33,2331.0021347361744,2332.5430938257605,-1,-1,-69.47935091887749,-1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-30 08:00:00,2317.35,2318.31,2309.37,2312.56,2327.649019329597,2330.6399420328307,-1,-1,-67.16991561619798,-1,|,-1.0,0.0,0.0,2332.5430938257605,0.0,0.0
18 - gold,2024-04-30 12:00:00,2312.55,2313.26,2293.07,2295.71,2321.841924906034,2327.3132808868468,-1,-1,-70.30301458396883,-1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-30 16:00:00,2295.73,2299.15,2289.09,2290.59,2316.1597567413005,2323.8158255642898,-1,-1,-66.39665205012294,-1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-04-30 20:00:00,2290.63,2293.31,2284.95,2291.18,2311.6179827883366,2320.707651701024,-1,-1,-61.44614120885888,-1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-01 00:00:00,2291.19,2292.68,2282.95,2283.99,2306.5947131904572,2317.210732491403,-1,-1,-64.40489517647596,-1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-01 04:00:00,2284.0,2289.57,2281.48,2285.68,2302.7920380649193,2314.20780558746,-1,-1,-60.91851947493254,-1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-01 08:00:00,2285.69,2296.89,2283.62,2294.38,2301.2625765985704,2312.319443150559,-1,-1,-38.85842608017209,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-01 12:00:00,2294.39,2310.25,2294.03,2307.06,2302.3166535806486,2311.818543802887,-1,0,25.572859734659303,0,|,0.0,-1.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-01 16:00:00,2307.08,2328.14,2292.93,2309.72,2303.662716565985,2311.618682488326,-1,0,27.576083191658338,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-01 20:00:00,2309.63,2324.6,2306.93,2323.63,2307.2931317358066,2312.762617489438,-1,0,47.47075319848087,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-02 00:00:00,2323.59,2326.26,2317.14,2319.34,2309.4834714202057,2313.3890348713962,-1,1,31.324943741551273,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-02 04:00:00,2319.36,2320.83,2307.98,2309.05,2309.404658434714,2312.9757934550726,-1,0,-1.351839589416409,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-02 08:00:00,2309.19,2310.87,2295.03,2298.85,2307.4856296284024,2311.6304797926846,-1,0,-32.81261114528246,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-02 12:00:00,2298.82,2306.76,2285.33,2299.72,2306.0736969686927,2310.4961483838574,-1,0,-27.619011677620097,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-02 16:00:00,2299.73,2309.3,2297.77,2302.7,2305.4602975198395,2309.753658061585,-1,0,-15.56751656816783,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-02 20:00:00,2302.77,2305.52,2300.56,2304.04,2305.2020616071413,2309.209500150958,-1,0,-8.216584644429156,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-03 00:00:00,2304.02,2306.2,2299.69,2302.24,2304.6635049512975,2308.545738231819,-1,0,-17.530959172702183,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-03 04:00:00,2302.4,2308.6,2297.59,2299.05,2303.642867687425,2307.641382209741,-1,0,-30.47664044529737,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-03 08:00:00,2299.06,2303.01,2296.16,2298.11,2302.6368917442574,2306.733631523099,-1,0,-30.45623338296452,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-03 12:00:00,2298.15,2320.69,2277.13,2293.55,2300.984729608938,2305.4780475685184,-1,0,-55.03143595296311,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-03 16:00:00,2293.53,2302.95,2292.66,2301.23,2301.0293242254943,2305.0734716096117,-1,0,3.801668762304817,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-03 20:00:00,2301.33,2303.23,2300.67,2300.78,2300.983992548132,2304.664569551553,-1,0,-3.8396772870483984,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-05 20:00:00,2303.1,2303.15,2293.17,2293.86,2299.6887211757444,2303.635562927596,-1,0,-65.58124517730818,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-06 00:00:00,2293.81,2315.19,2291.66,2309.19,2301.4162264165184,2304.1645569344914,-1,0,61.35610344824715,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-06 04:00:00,2309.15,2324.03,2307.85,2322.74,2305.2932761589695,2305.933646750254,-1,1,66.80691490337765,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-06 08:00:00,2322.59,2322.95,2315.42,2318.03,2307.609044130066,2307.085680393087,1,1,51.95617262489203,1,|,1.0,0.0,0.0,2305.933646750254,0.0,0.0
18 - gold,2024-05-06 12:00:00,2318.07,2331.8,2314.36,2324.67,2310.711036106418,2308.7603774985073,1,1,57.25767728808055,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-06 16:00:00,2324.65,2327.27,2317.87,2324.82,2313.2763022688873,2310.2898653557922,1,1,52.16499922886128,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-06 20:00:00,2324.8,2328.83,2322.07,2325.78,2315.5497018563624,2311.765116274288,1,1,50.11392811478658,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-07 00:00:00,2326.09,2329.78,2319.4,2324.77,2317.2261197006605,2313.0036766291178,1,1,46.44597741333231,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-07 04:00:00,2324.76,2324.92,2317.6,2319.16,2317.5777343005407,2313.58999314063,1,1,12.680524057610063,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-07 08:00:00,2319.14,2319.71,2311.43,2312.25,2316.6090553368063,2313.4623747462842,1,0,-29.73405030823237,0,|,0.0,1.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-07 12:00:00,2312.21,2323.5,2309.86,2314.55,2316.2346816392055,2313.5659581037808,1,0,-13.650908018930917,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-07 16:00:00,2314.55,2317.26,2310.88,2314.5,2315.919284977532,2313.654914474849,1,0,-10.748696556391009,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-07 20:00:00,2314.5,2316.7,2312.71,2314.97,2315.7466877088896,2313.7801607153397,1,0,-6.612850683352119,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-08 00:00:00,2315.05,2317.98,2306.98,2316.85,2315.947289943637,2314.0725263614977,1,0,7.943651926810994,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-08 04:00:00,2316.87,2321.25,2305.28,2305.59,2314.064146317521,2313.2646667080217,1,0,-52.826582793400696,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-08 08:00:00,2305.32,2317.88,2303.59,2314.48,2314.139756077972,2313.3804127358294,1,0,3.6238224302586346,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-08 12:00:00,2314.49,2320.15,2306.58,2320.15,2315.2325277001587,2314.0251353324174,1,0,47.66872325606181,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-08 16:00:00,2320.27,2320.88,2307.79,2307.96,2313.910249936494,2313.4475033959966,1,0,-56.744863217185895,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-08 20:00:00,2307.94,2310.73,2307.71,2308.6,2312.9447499480407,2312.9858364059014,-1,-1,-48.58401968652063,-1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-09 00:00:00,2308.66,2312.88,2307.68,2312.18,2312.8057045029423,2312.90909008153,-1,0,-9.429084349121098,0,|,-1.0,0.0,0.0,2312.9858364059014,0.0,0.0
18 - gold,2024-05-09 04:00:00,2312.17,2319.57,2307.38,2309.18,2312.1464855024074,2312.5539386451937,-1,0,-38.062250300695624,0,|,0.0,-1.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-09 08:00:00,2309.1,2316.5,2306.58,2315.76,2312.8034881383333,2312.8592778218417,-1,0,35.904383661107694,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-09 12:00:00,2315.77,2338.53,2311.94,2330.17,2315.9610357495453,2314.507918029285,1,0,65.68546770633318,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-09 16:00:00,2330.2,2343.83,2329.11,2343.64,2320.993574704173,2317.282402026496,1,1,67.001831609526,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-09 20:00:00,2343.65,2348.16,2343.06,2346.38,2325.609288394324,2320.0536018334965,1,1,63.410454821037625,1,|,1.0,0.0,0.0,2317.282402026496,0.0,0.0
18 - gold,2024-05-10 00:00:00,2346.39,2355.66,2345.85,2353.21,2330.6275995953556,2323.21135403983,1,1,62.898309916136355,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-10 04:00:00,2353.22,2370.2,2351.08,2366.49,2337.1480360325636,2327.3331298455605,1,1,65.4500199174712,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-10 08:00:00,2366.5,2378.26,2365.7,2371.97,2343.479302208461,2331.5842603364595,1,1,64.95459383858261,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-10 12:00:00,2371.88,2375.51,2356.41,2364.65,2347.328519988741,2334.733378399654,1,1,55.74044617310926,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-10 16:00:00,2364.63,2370.78,2361.54,2363.19,2350.212425445334,2337.443532837782,1,1,51.17947765980546,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-10 20:00:00,2363.26,2364.24,2362.86,2363.59,2352.6447117280004,2339.933672567517,1,1,53.17312188844105,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-12 20:00:00,2361.93,2363.0,2359.56,2360.22,2354.0220368683636,2341.865703751563,1,1,39.32747558079546,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-13 00:00:00,2360.25,2364.31,2354.66,2356.91,2354.5471210741157,2343.2984938704617,1,1,14.566265139501764,0,|,0.0,1.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-13 04:00:00,2356.67,2356.86,2346.39,2348.44,2353.4367354242763,2343.788161120894,1,0,-23.94133029978608,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-13 08:00:00,2348.32,2350.17,2338.28,2344.34,2351.7827835289536,2343.840717204618,1,0,-29.898091092091086,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-13 12:00:00,2344.42,2349.63,2332.07,2335.73,2348.864095614598,2343.068267947035,1,0,-42.230049804893994,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-13 16:00:00,2335.74,2338.32,2334.31,2337.17,2346.7378964119443,2342.506528142556,1,-1,-35.644709601747095,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-13 20:00:00,2337.16,2339.13,2335.02,2338.2,2345.1855516097726,2342.0963826051698,1,-1,-33.27765509457809,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-14 00:00:00,2338.19,2344.28,2334.65,2342.98,2344.7845422261776,2342.1805366427725,1,0,-11.440814650086027,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-14 04:00:00,2342.97,2345.73,2335.92,2338.96,2343.725534548691,2341.87381886727,1,0,-32.65172158727529,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-14 08:00:00,2339.0,2348.03,2337.61,2343.37,2343.6608919034747,2342.016312308482,1,0,-2.8851991704022364,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-14 12:00:00,2343.41,2356.79,2335.03,2347.78,2344.4098206482977,2342.5652349457696,1,0,32.64350751552492,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-14 16:00:00,2347.72,2359.47,2346.26,2356.42,2346.5934896213344,2343.884736379506,1,0,55.876321943789485,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-14 20:00:00,2356.44,2358.26,2354.92,2355.65,2348.240127872001,2345.005237676696,1,1,44.76205064348473,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-15 00:00:00,2355.64,2360.81,2354.74,2360.17,2350.409195531637,2346.4495007551063,1,1,50.248530212577826,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-15 04:00:00,2360.16,2364.57,2355.57,2362.3,2352.571159980431,2347.9590721117625,1,1,52.78527135003103,1,|,1.0,0.0,0.0,2346.4495007551063,0.0,0.0
18 - gold,2024-05-15 08:00:00,2362.29,2374.12,2361.91,2362.6,2354.3945854385342,2349.3534461963563,1,1,51.76396148075787,1,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-15 12:00:00,2362.58,2385.6,2351.65,2377.43,2358.582842631528,2352.027403701465,1,0,69.69082102391236,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2024-05-15 16:00:00,2377.53,2390.09,2376.92,2386.28,2363.6186894257958,2355.2895557298966,1,1,70.28800285698395,1,|,0.0,1.0,0.0,0.0,0.0,0.0
